"id","student_id","book_id","status"
"1","1","13","in_progress"
"2","1","19","in_progress"
"3","2","1","in_progress"
"4","2","24","in_progress"
"5","3","2","in_progress"
"6","3","21","in_progress"
"7","4","6","in_progress"
"8","4","1","in_progress"
"9","5","3","in_progress"
"10","5","8","in_progress"
"11","6","20","in_progress"
"12","6","10","in_progress"
"13","7","11","in_progress"
"14","7","3","in_progress"
"15","8","23","in_progress"
"16","8","14","in_progress"
"17","9","9","in_progress"
"18","9","23","in_progress"
"19","10","9","in_progress"
"20","10","2","in_progress"
"21","11","14","in_progress"
"22","11","22","in_progress"
"23","12","23","in_progress"
"24","12","20","in_progress"
"25","13","16","in_progress"
"26","13","24","in_progress"
"27","14","12","in_progress"
"28","14","3","in_progress"
"29","15","9","in_progress"
"30","15","15","in_progress"
"31","16","20","in_progress"
"32","16","2","in_progress"
"33","17","4","in_progress"
"34","17","13","in_progress"
"35","18","18","in_progress"
"36","18","22","in_progress"
"37","19","13","in_progress"
"38","19","18","in_progress"
"39","20","18","in_progress"
"40","20","3","in_progress"
"41","21","9","in_progress"
"42","21","16","in_progress"
"43","22","17","in_progress"
"44","22","15","in_progress"
"45","23","18","in_progress"
"46","23","22","in_progress"
"47","24","12","in_progress"
"48","24","9","in_progress"
"49","25","5","in_progress"
"50","25","3","in_progress"
"51","26","5","in_progress"
"52","26","12","in_progress"
"53","27","7","in_progress"
"54","27","8","in_progress"
"55","28","11","in_progress"
"56","28","18","in_progress"
"57","29","4","in_progress"
"58","29","16","in_progress"
"59","30","16","in_progress"
"60","30","4","in_progress"
"61","31","5","in_progress"
"62","31","4","in_progress"
"63","32","4","in_progress"
"64","32","5","in_progress"
"65","33","8","in_progress"
"66","33","24","in_progress"
"67","34","23","in_progress"
"68","34","22","in_progress"
"69","35","15","in_progress"
"70","35","21","in_progress"
"71","36","21","in_progress"
"72","36","19","in_progress"
"73","37","22","in_progress"
"74","37","23","in_progress"
"75","38","3","in_progress"
"76","38","4","in_progress"
"77","39","19","in_progress"
"78","39","12","in_progress"
"79","40","22","in_progress"
"80","40","3","in_progress"
